id_ip,group,group_class
3,server,web server
5,end-device,
10,server,web server
12,net-device,core router
13,server,dns server
15,server,mail server
17,end-device,wifi client
18,net-device,core router
21,server,
25,server,dns server
26,net-device,wifi router
27,server,
28,net-device,core router
31,server,
33,server,dns server
35,server,dns server
42,end-device,workstation
43,end-device,wifi client
45,server,web server
48,server,
49,server,mail server
50,end-device,workstation
51,server,dns server
52,end-device,workstation
53,server,web server
54,net-device,core router
60,end-device,
63,server,
64,server,vpn server
65,server,web server
73,server,web server
75,end-device,wifi client
78,end-device,wifi client
82,server,web server
88,end-device,workstation
111,server,mail server
121,server,web server
128,net-device,core router
129,server,cloud
154,server,metacentrum
164,end-device,workstation
172,end-device,wifi client
178,end-device,wifi client
185,end-device,workstation
203,end-device,wifi client
226,end-device,
236,end-device,wifi client
241,server,
251,end-device,
254,end-device,wifi client
273,end-device,wifi client
275,end-device,workstation
287,end-device,workstation
290,end-device,wifi client
295,end-device,workstation
302,end-device,wifi client
305,end-device,wifi client
314,end-device,wifi client
316,end-device,wifi client
326,end-device,wifi client
332,server,mail server
342,end-device,wifi client
364,end-device,wifi client
367,net-device,core router
379,end-device,wifi client
381,end-device,wifi client
382,end-device,wifi client
399,end-device,
407,server,vpn server
410,end-device,workstation
411,server,mail server
413,server,mail server
415,end-device,
416,end-device,workstation
419,end-device,wifi client
420,end-device,
432,server,vpn server
435,server,dns server
436,end-device,wifi client
438,end-device,workstation
446,end-device,workstation
453,server,
454,end-device,wifi client
463,server,dns server
468,net-device,core router
469,end-device,ip camera
494,end-device,workstation
501,end-device,wifi client
512,end-device,wifi client
519,end-device,ip camera
523,end-device,
524,end-device,wifi client
530,end-device,
536,end-device,workstation
552,server,mail server
553,net-device,core router
563,end-device,wifi client
570,server,mail server
585,net-device,core router
591,end-device,wifi client
594,end-device,workstation
602,end-device,
603,end-device,wifi client
618,server,metacentrum
619,end-device,workstation
630,end-device,
631,end-device,wifi client
659,end-device,wifi client
661,end-device,wifi client
662,net-device,core router
671,net-device,core router
673,end-device,workstation
675,end-device,wifi client
680,end-device,
699,end-device,wifi client
714,end-device,
733,end-device,
736,end-device,
738,end-device,workstation
753,end-device,wifi client
761,end-device,workstation
764,server,
771,end-device,
793,end-device,
794,end-device,wifi client
808,end-device,
824,end-device,wifi client
830,end-device,
834,end-device,wifi client
841,end-device,workstation
854,end-device,workstation
860,end-device,wifi client
862,server,dns server
863,server,metacentrum
879,end-device,wifi client
884,server,
894,server,cloud
895,end-device,workstation
905,end-device,wifi client
917,end-device,workstation
923,end-device,wifi client
925,server,dns server
926,end-device,wifi client
929,end-device,wifi client
962,end-device,wifi client
967,server,metacentrum
977,end-device,printer
984,net-device,core router
985,end-device,wifi client
988,end-device,wifi client
991,end-device,
994,end-device,wifi client
1008,end-device,
1016,end-device,wifi client
1019,end-device,wifi client
1023,end-device,workstation
1026,end-device,workstation
1032,end-device,wifi client
1040,server,nas server
1046,end-device,wifi client
1050,end-device,
1076,server,
1084,net-device,core router
1087,end-device,workstation
1088,end-device,wifi client
1114,end-device,wifi client
1128,end-device,workstation
1131,net-device,core router
1135,end-device,
1138,end-device,workstation
1154,net-device,core router
1162,end-device,workstation
1166,end-device,workstation
1190,end-device,wifi client
1191,end-device,wifi client
1196,server,cloud
1197,end-device,workstation
1200,net-device,wifi router
1204,server,
1207,end-device,wifi client
1209,end-device,wifi client
1218,end-device,wifi client
1220,server,ntp server
1233,end-device,
1251,end-device,wifi client
1255,end-device,wifi client
1262,end-device,voip
1278,end-device,
1284,server,vpn server
1285,end-device,wifi client
1322,end-device,
1325,end-device,workstation
1326,server,
1331,end-device,
1334,server,
1355,end-device,workstation
1356,end-device,workstation
1357,end-device,wifi client
1359,end-device,wifi client
1361,server,web server
1362,server,ntp server
1363,end-device,workstation
1365,end-device,workstation
1367,server,dns server
1369,server,dns server
1370,server,web server
1375,end-device,
1379,server,
1380,server,dns server
1381,end-device,voip
1382,server,dns server
1383,server,dns server
1395,server,ntp server
1396,net-device,core router
1398,net-device,core router
1399,end-device,wifi client
1413,end-device,workstation
1420,end-device,workstation
1423,end-device,
1451,end-device,wifi client
1452,end-device,workstation
1473,end-device,
1475,end-device,wifi client
1476,end-device,wifi client
1493,end-device,
1500,end-device,wifi client
1509,end-device,
1514,end-device,wifi client
1519,end-device,wifi client
1520,server,authentication server
1534,end-device,wifi client
1539,end-device,wifi client
1540,server,authentication server
1541,end-device,
1553,net-device,core router
1557,server,ntp server
1569,server,mail server
1573,end-device,workstation
1580,end-device,workstation
1587,end-device,wifi client
1591,end-device,wifi client
1602,net-device,core router
1603,net-device,core router
1605,net-device,core router
1623,end-device,
1637,end-device,workstation
1648,server,dns server
1652,end-device,wifi client
1657,net-device,core router
1675,end-device,workstation
1680,server,proxy server
1681,end-device,wifi client
1682,end-device,wifi client
1686,end-device,wifi client
1688,server,cloud
1692,end-device,wifi client
1697,end-device,workstation
1698,server,dns server
1710,end-device,workstation
1724,end-device,
1727,net-device,core router
1737,end-device,workstation
1740,end-device,wifi client
1754,net-device,core router
1758,net-device,core router
1761,server,cloud
1762,server,vpn server
1768,end-device,wifi client
1771,net-device,core router
1773,end-device,workstation
1782,end-device,workstation
1786,end-device,wifi client
1788,end-device,wifi client
1796,end-device,
1798,end-device,wifi client
1802,end-device,
1808,end-device,workstation
1810,end-device,wifi client
1814,end-device,workstation
1828,end-device,wifi client
1834,server,mail server
1838,end-device,wifi client
1849,end-device,
1856,end-device,wifi client
1865,end-device,wifi client
1874,server,mail server
1875,server,metacentrum
1881,end-device,wifi client
1882,server,metacentrum
1884,end-device,wifi client
1890,end-device,workstation
1895,end-device,
1911,end-device,wifi client
1951,end-device,wifi client
1954,net-device,core router
1956,end-device,workstation
1976,end-device,wifi client
1991,end-device,wifi client
1993,end-device,wifi client
2011,end-device,
2014,end-device,
2027,end-device,workstation
2030,end-device,wifi client
2036,end-device,workstation
2043,end-device,
2062,end-device,wifi client
2077,end-device,wifi client
2084,net-device,core router
2087,net-device,wifi router
2090,end-device,
2108,end-device,wifi client
2110,end-device,wifi client
2120,end-device,wifi client
2124,server,vpn server
2131,server,authentication server
2154,end-device,wifi client
2156,end-device,wifi
2164,server,mail server
2167,end-device,wifi client
2169,end-device,wifi client
2174,end-device,
2181,end-device,wifi client
2187,end-device,wifi client
2201,end-device,
2219,end-device,
2227,end-device,wifi client
2229,server,vpn server
2235,end-device,wifi client
2253,end-device,wifi client
2254,server,web server
2267,end-device,wifi client
2269,end-device,
2277,end-device,wifi client
2297,net-device,core router
2305,end-device,workstation
2320,server,metacentrum
2321,end-device,
2349,end-device,wifi client
2353,end-device,wifi client
2356,server,vpn server
2361,end-device,workstation
2366,net-device,core router
2367,end-device,workstation
2370,end-device,wifi client
2379,end-device,voip
2385,net-device,core router
2432,end-device,wifi client
2434,end-device,workstation
2437,end-device,workstation
2443,end-device,wifi client
2444,end-device,wifi client
2445,end-device,
2468,end-device,workstation
2483,end-device,wifi client
2489,server,web server
2490,end-device,wifi client
2499,end-device,workstation
2510,end-device,wifi client
2511,server,proxy server
2512,end-device,wifi client
2522,end-device,wifi client
2523,end-device,workstation
2541,end-device,workstation
2544,end-device,workstation
2553,server,web server
2574,end-device,
2583,end-device,wifi client
2588,end-device,wifi client
2593,end-device,
2597,end-device,wifi client
2608,end-device,wifi client
2612,end-device,workstation
2627,server,dns server
2630,end-device,workstation
2632,end-device,wifi client
2652,end-device,
2658,end-device,wifi client
2662,net-device,core router
2676,server,
2677,server,web server
2678,server,
2683,end-device,wifi client
2694,server,
2695,server,
2699,server,web server
2701,server,vpn server
2723,net-device,wifi router
2726,end-device,wifi client
2728,server,dns server
2729,server,mail server
2740,server,web server
2750,server,mail server
2758,net-device,core router
2761,net-device,core router
2763,end-device,workstation
2775,server,dns server
2776,end-device,
2779,end-device,workstation
2780,net-device,core router
2781,end-device,
2783,server,web server
2785,end-device,workstation
2788,end-device,workstation
2790,end-device,workstation
2791,end-device,printer
2801,end-device,workstation
2802,net-device,core router
2803,end-device,workstation
2812,end-device,voip
2819,end-device,
2841,end-device,workstation
2844,end-device,workstation
2851,end-device,wifi client
2856,end-device,workstation
2872,end-device,workstation
2875,end-device,wifi client
2883,server,dns server
2892,end-device,workstation
2896,end-device,
2897,end-device,wifi client
2901,end-device,wifi client
2903,end-device,wifi client
2906,end-device,wifi client
2909,end-device,
2913,end-device,workstation
2925,end-device,
2928,server,authentication server
2940,end-device,
2941,end-device,wifi client
2950,end-device,wifi client
2959,end-device,
2976,end-device,
2986,end-device,
2989,end-device,wifi client
2990,end-device,workstation
2994,end-device,workstation
2997,end-device,wifi client
3010,end-device,workstation
3017,end-device,wifi client
3038,end-device,workstation
3049,end-device,workstation
3052,server,mail server
3055,end-device,
3057,end-device,
3073,end-device,workstation
3092,server,metacentrum
3105,server,vpn server
3109,server,cloud
3121,end-device,
3138,end-device,workstation
3144,server,vpn server
3154,end-device,workstation
3156,server,proxy server
3157,server,mail server
3183,end-device,workstation
3188,end-device,wifi client
3189,end-device,wifi client
3197,end-device,wifi client
3203,end-device,
3231,end-device,wifi client
3233,server,
3234,end-device,wifi client
3251,end-device,wifi client
3252,end-device,workstation
3257,end-device,workstation
3261,end-device,wifi client
3268,end-device,workstation
3288,end-device,
3294,end-device,workstation
3296,end-device,workstation
3304,end-device,workstation
3308,end-device,workstation
3310,server,dns server
3311,server,metacentrum
3312,server,
3313,server,vpn server
3318,end-device,workstation
3328,end-device,wifi client
3329,net-device,wifi router
3335,server,
3340,end-device,wifi client
3369,end-device,wifi client
3370,end-device,
3371,server,proxy server
3377,end-device,workstation
3392,end-device,wifi client
3399,server,dns server
3407,end-device,workstation
3416,end-device,wifi client
3431,server,mail server
3435,end-device,workstation
3444,end-device,workstation
3458,server,web server
3477,server,
3486,end-device,wifi client
3497,end-device,workstation
3526,server,
3530,net-device,wifi router
3536,server,metacentrum
3538,end-device,
3540,server,vpn server
3584,end-device,
3586,server,cloud
3594,end-device,
3604,server,cloud
3614,end-device,workstation
3615,end-device,wifi client
3618,server,
3631,end-device,wifi client
3635,net-device,core router
3656,server,dns server
3671,end-device,wifi client
3673,end-device,
3679,server,smtp server
3685,end-device,wifi client
3688,end-device,wifi client
3691,end-device,wifi client
3695,end-device,wifi client
3699,end-device,workstation
3713,end-device,wifi client
3718,end-device,wifi client
3749,server,web server
3767,end-device,workstation
3774,end-device,wifi client
3776,end-device,ip camera
3778,end-device,wifi client
3788,end-device,workstation
3793,end-device,workstation
3805,net-device,wifi router
3829,server,mail server
3837,end-device,wifi client
3850,server,
3859,end-device,workstation
3867,end-device,wifi client
3911,end-device,
3919,end-device,workstation
3929,end-device,wifi client
3944,end-device,voip
3960,server,metacentrum
3982,end-device,workstation
3991,end-device,ip camera
4001,net-device,core router
4006,end-device,workstation
4010,net-device,wifi router
4015,end-device,wifi client
4033,server,web server
4053,server,
4056,end-device,workstation
4070,server,web server
4071,end-device,
4073,server,
4080,end-device,wifi client
4087,server,web server
4089,server,web server
4109,end-device,
4114,end-device,
4118,end-device,
4124,end-device,wifi client
4126,end-device,wifi client
4133,end-device,
4139,end-device,
4144,end-device,workstation
4147,end-device,workstation
4149,end-device,wifi client
4151,server,
4183,end-device,wifi client
4189,end-device,
4199,end-device,workstation
4201,server,vpn server
4210,end-device,wifi client
4224,net-device,wifi router
4227,end-device,wifi client
4231,end-device,workstation
4273,end-device,workstation
4279,end-device,wifi client
4292,end-device,workstation
4296,end-device,workstation
4304,end-device,wifi client
4312,server,web server
4321,end-device,workstation
4325,end-device,workstation
4347,end-device,wifi client
4348,end-device,
4359,end-device,wifi client
4362,end-device,wifi client
4370,end-device,workstation
4388,end-device,
4392,end-device,
4408,end-device,workstation
4421,end-device,wifi client
4422,end-device,wifi client
4423,end-device,wifi client
4431,end-device,wifi client
4446,end-device,wifi client
4447,end-device,wifi client
4451,end-device,
4456,end-device,
4460,end-device,workstation
4461,end-device,wifi client
4478,end-device,wifi client
4500,end-device,workstation
4515,end-device,wifi client
4537,server,vpn server
4541,end-device,
4567,server,metacentrum
4569,end-device,wifi client
4595,end-device,workstation
4599,end-device,workstation
4600,end-device,wifi client
4610,end-device,
4620,end-device,wifi client
4623,end-device,
4626,end-device,wifi client
4635,end-device,wifi client
4657,end-device,wifi client
4672,end-device,workstation
4687,end-device,workstation
4716,end-device,workstation
4721,end-device,wifi client
4728,server,vpn server
4759,server,web server
4760,end-device,workstation
4770,server,mail server
4776,end-device,wifi client
4781,net-device,core router
4783,server,data server
4784,end-device,
4789,end-device,wifi client
4794,server,vpn server
4804,end-device,wifi client
4807,end-device,workstation
4809,server,smtp server
4812,end-device,wifi client
4814,end-device,workstation
4820,end-device,workstation
4846,end-device,
4850,net-device,core router
4852,end-device,wifi client
4862,end-device,workstation
4865,end-device,wifi client
4867,end-device,wifi client
4882,end-device,wifi client
4885,end-device,wifi client
4888,server,mail server
4897,server,authentication server
4901,end-device,wifi client
4906,end-device,wifi client
4934,server,vpn server
4947,end-device,wifi client
4949,end-device,workstation
4951,end-device,wifi client
4961,end-device,wifi client
4967,end-device,wifi client
4975,end-device,wifi client
4981,end-device,workstation
4992,server,vpn server
4994,end-device,wifi client
4999,end-device,
5006,end-device,
5031,server,mail server
5071,end-device,wifi client
5091,end-device,wifi client
5095,end-device,wifi client
5105,end-device,wifi client
5116,end-device,
5118,net-device,core router
5122,end-device,wifi client
5136,end-device,workstation
5149,end-device,workstation
5152,server,mail server
5157,end-device,wifi client
5162,end-device,wifi client
5163,server,web server
5166,end-device,wifi client
5172,server,cloud
5175,server,dns server
5176,end-device,
5178,server,mail server
5180,end-device,workstation
5190,end-device,
5193,server,data server
5194,end-device,
5195,net-device,core router
5199,server,dns server
5211,net-device,core router
5212,end-device,wifi client
5213,end-device,workstation
5226,server,data server
5227,end-device,wifi client
5239,end-device,wifi client
5248,end-device,wifi client
5249,end-device,wifi client
5255,end-device,workstation
5258,end-device,workstation
5260,end-device,
5264,end-device,workstation
5267,server,mail server
5268,server,
5272,end-device,wifi client
5278,end-device,
5288,end-device,wifi client
5293,end-device,wifi client
5297,end-device,workstation
5302,end-device,ip camera
5308,end-device,wifi
5313,end-device,workstation
5315,net-device,core router
5328,end-device,workstation
5335,end-device,
5338,server,metacentrum
5343,end-device,workstation
5349,end-device,workstation
5352,server,
5365,end-device,wifi client
5367,end-device,workstation
5371,end-device,wifi client
5389,end-device,wifi client
5396,end-device,wifi client
5400,end-device,wifi client
5401,end-device,workstation
5404,end-device,workstation
5417,end-device,
5427,end-device,workstation
5432,end-device,wifi client
5433,end-device,
5434,net-device,core router
5439,end-device,workstation
5445,end-device,workstation
5447,server,ntp server
5449,end-device,wifi client
5450,end-device,wifi client
5455,server,
5466,server,web server
5467,server,web server
5480,server,web server
5489,server,
5493,end-device,workstation
5516,end-device,wifi client
5520,end-device,
5527,end-device,
5531,net-device,core router
5536,end-device,
5568,end-device,workstation
5570,end-device,wifi client
5585,end-device,wifi client
5588,end-device,wifi client
5605,end-device,
5610,end-device,workstation
5612,end-device,wifi client
5622,end-device,workstation
5650,end-device,
5653,end-device,workstation
5663,end-device,wifi client
5664,end-device,wifi client
5680,end-device,workstation
5681,end-device,
5712,end-device,
5719,end-device,
5721,end-device,workstation
5722,end-device,wifi client
5730,end-device,wifi client
5742,end-device,wifi client
5748,end-device,workstation
5751,end-device,wifi client
5755,end-device,voip
5763,end-device,workstation
5788,end-device,workstation
5804,net-device,core router
5805,net-device,core router
5808,server,cloud
5817,server,mail server
5824,end-device,wifi client
5836,end-device,workstation
5840,end-device,workstation
5860,end-device,wifi client
5884,end-device,wifi client
5885,end-device,
5893,server,cloud
5904,end-device,workstation
5909,end-device,workstation
5923,end-device,
5959,net-device,core router
5965,end-device,workstation
5967,end-device,wifi client
5971,net-device,core router
5977,end-device,wifi client
5978,net-device,wifi router
5983,server,mail server
5986,end-device,wifi client
5988,end-device,
5990,end-device,wifi client
6002,end-device,workstation
6014,server,vpn server
6021,end-device,
6036,end-device,wifi client
6042,end-device,workstation
6049,end-device,workstation
6080,end-device,wifi client
6086,server,cloud
6088,end-device,workstation
6112,end-device,workstation
6134,end-device,
6158,end-device,wifi client
6174,net-device,core router
6183,end-device,wifi client
6185,server,cloud
6204,end-device,wifi client
6218,end-device,workstation
6238,end-device,
6252,end-device,wifi client
6258,net-device,core router
6264,end-device,workstation
6285,end-device,wifi client
6303,end-device,
6312,end-device,
6317,net-device,wifi router
6324,end-device,wifi client
6333,end-device,wifi client
